Timestamp,Status,Current,Total,Progress
2025-02-21 02:48:03,validating,0,0,0.00%
2025-02-21 02:48:09,in_progress,3,97,3.09%
2025-02-21 02:48:14,in_progress,6,97,6.19%
2025-02-21 02:48:19,in_progress,10,97,10.31%
2025-02-21 02:48:24,in_progress,13,97,13.40%
2025-02-21 02:48:30,in_progress,20,97,20.62%
2025-02-21 02:48:35,in_progress,30,97,30.93%
2025-02-21 02:48:40,in_progress,35,97,36.08%
2025-02-21 02:48:46,in_progress,41,97,42.27%
2025-02-21 02:48:51,in_progress,47,97,48.45%
2025-02-21 02:48:56,in_progress,47,97,48.45%
2025-02-21 02:49:01,in_progress,59,97,60.82%
2025-02-21 02:49:07,in_progress,59,97,60.82%
2025-02-21 02:49:12,in_progress,60,97,61.86%
2025-02-21 02:49:17,in_progress,60,97,61.86%
2025-02-21 02:49:22,in_progress,60,97,61.86%
2025-02-21 02:49:28,in_progress,60,97,61.86%
2025-02-21 02:49:33,in_progress,60,97,61.86%
2025-02-21 02:49:38,in_progress,64,97,65.98%
2025-02-21 02:49:43,in_progress,64,97,65.98%
2025-02-21 02:49:49,in_progress,64,97,65.98%
2025-02-21 02:49:54,in_progress,69,97,71.13%
2025-02-21 02:49:59,in_progress,69,97,71.13%
2025-02-21 02:50:05,in_progress,70,97,72.16%
2025-02-21 02:50:10,in_progress,75,97,77.32%
2025-02-21 02:50:15,in_progress,76,97,78.35%
2025-02-21 02:50:20,in_progress,76,97,78.35%
2025-02-21 02:50:26,in_progress,77,97,79.38%
2025-02-21 02:50:31,in_progress,78,97,80.41%
2025-02-21 02:50:36,in_progress,80,97,82.47%
2025-02-21 02:50:42,in_progress,80,97,82.47%
2025-02-21 02:50:47,in_progress,81,97,83.51%
2025-02-21 02:50:52,in_progress,81,97,83.51%
2025-02-21 02:50:58,in_progress,81,97,83.51%
2025-02-21 02:51:03,in_progress,83,97,85.57%
2025-02-21 02:51:08,in_progress,83,97,85.57%
2025-02-21 02:51:14,in_progress,83,97,85.57%
2025-02-21 02:51:19,in_progress,84,97,86.60%
2025-02-21 02:51:24,in_progress,84,97,86.60%
2025-02-21 02:51:30,in_progress,84,97,86.60%
2025-02-21 02:51:35,in_progress,84,97,86.60%
2025-02-21 02:51:40,in_progress,87,97,89.69%
2025-02-21 02:51:46,in_progress,87,97,89.69%
2025-02-21 02:51:51,in_progress,87,97,89.69%
2025-02-21 02:51:56,in_progress,87,97,89.69%
2025-02-21 02:52:01,in_progress,87,97,89.69%
2025-02-21 02:52:07,in_progress,87,97,89.69%
2025-02-21 02:52:12,in_progress,87,97,89.69%
2025-02-21 02:52:17,in_progress,87,97,89.69%
2025-02-21 02:52:22,in_progress,87,97,89.69%
2025-02-21 02:52:28,in_progress,87,97,89.69%
2025-02-21 02:52:33,in_progress,87,97,89.69%
2025-02-21 02:52:38,in_progress,87,97,89.69%
2025-02-21 02:52:44,in_progress,87,97,89.69%
2025-02-21 02:52:49,in_progress,87,97,89.69%
2025-02-21 02:52:54,in_progress,87,97,89.69%
2025-02-21 02:53:00,in_progress,87,97,89.69%
2025-02-21 02:53:05,in_progress,87,97,89.69%
2025-02-21 02:53:10,in_progress,87,97,89.69%
2025-02-21 02:53:15,in_progress,87,97,89.69%
2025-02-21 02:53:21,in_progress,87,97,89.69%
2025-02-21 02:53:26,in_progress,87,97,89.69%
2025-02-21 02:53:32,in_progress,87,97,89.69%
2025-02-21 02:53:37,in_progress,87,97,89.69%
2025-02-21 02:53:42,in_progress,87,97,89.69%
2025-02-21 02:53:47,in_progress,91,97,93.81%
2025-02-21 02:53:53,in_progress,91,97,93.81%
2025-02-21 02:53:58,in_progress,91,97,93.81%
2025-02-21 02:54:03,in_progress,91,97,93.81%
2025-02-21 02:54:09,in_progress,91,97,93.81%
2025-02-21 02:54:14,in_progress,91,97,93.81%
2025-02-21 02:54:19,in_progress,91,97,93.81%
